"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode"
"290",290,19,339,10,"english","solid things",0.85,"striped things",0.25,"polka-dotted things",0.25,"clouds",0.5,"circles",0.5,"squares",0.5,312,332,323,"red",213211,"True",3,2,1,12,18,24,0.33333,0.33333,0.33333,0.62963,0.18519,0.18519,NA,NA,NA,NA,NA,1,0.6075,0.19625,0.19625,NA,0.6075,0.3925,NA,NA,1,0.39176,0.30412,0.30412,NA,0.6794,0.3206,213211
"291",291,19,271,11,"english","clouds",0.5,"circles",0.35,"squares",0.7,"blue things",0.55,"red things",0.2,"green things",0.7,313,212,333,"solid",212222,"True",2,1,3,21,11,27,0.32258,0.22581,0.45161,NA,NA,NA,0.37931,0.13793,0.48276,NA,0.40765,0.59235,0.59235,NA,0.40765,NA,0.40765,0.59235,NA,0.32596,0.67404,0.67404,NA,0.32596,NA,0.32596,0.67404,212222
"292",292,19,1285,12,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,221,313,132,"blue",111111,"False",3,2,1,5,21,16,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.18763,0.62475,0.18763,0.18763,0.62475,0.18763,0.62475,0.18763,0.18763,0.26957,0.46086,0.26957,0.26957,0.46086,0.26957,0.46086,0.26957,0.26957,111111
"293",293,19,757,13,"english","blue things",0.65,"red things",0.3,"green things",0.5,"clouds",0.35,"circles",0.5,"squares",0.75,311,112,122,"solid",211212,"True",2,3,1,3,10,13,0.21875,0.3125,0.46875,NA,NA,NA,0.44828,0.2069,0.34483,0.40438,NA,0.59562,0.59562,0.40438,NA,0.59562,0.40438,NA,0.32106,NA,0.67894,0.67894,0.32106,NA,0.67894,0.32106,NA,211212
"294",294,19,1599,14,"english","blue things",0.5,"red things",0.7,"green things",0.3,"solid things",0.7,"striped things",0.3,"polka-dotted things",0.5,212,212,223,"circle",322121,"True",1,3,2,11,11,23,NA,NA,NA,0.46667,0.2,0.33333,0.33333,0.46667,0.2,NA,1,NA,0.57398,0.42602,NA,NA,0.57398,0.42602,NA,1,NA,0.65684,0.34316,NA,NA,0.65684,0.34316,322121
"295",295,19,967,15,"english","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,322,233,213,"red",121112,"False",3,1,2,15,26,20,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,NA,0.38218,0.61782,0.19109,0.61782,0.19109,NA,0.61782,0.38218,NA,0.31005,0.68995,0.27868,0.44264,0.27868,NA,0.68995,0.31005,121211
"296",296,19,1025,16,"english","solid things",0.5,"striped things",0.3,"polka-dotted things",0.8,"clouds",0.5,"circles",0.65,"squares",0.3,233,323,331,"green",212212,"True",3,2,1,26,24,9,0.34483,0.44828,0.2069,0.3125,0.1875,0.5,NA,NA,NA,NA,0.57849,0.42151,NA,0.42151,0.57849,0.42151,NA,0.57849,NA,0.66392,0.33608,NA,0.33608,0.66392,0.33608,NA,0.66392,212212
"297",297,19,459,17,"english","clouds",0.5,"circles",0.75,"squares",0.2,"blue things",0.5,"red things",0.25,"green things",0.75,233,332,111,"polka-dotted",211111,"True",2,1,3,26,18,1,0.34483,0.51724,0.13793,NA,NA,NA,0.33333,0.16667,0.5,0.19491,0.61017,0.19491,0.38983,NA,0.61017,0.19491,0.19491,0.61017,0.29879,0.40243,0.29879,0.3206,NA,0.6794,0.29879,0.29879,0.40243,211111
"298",298,19,903,18,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,323,323,112,"green",212121,"False",3,2,1,24,24,10,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.38915,NA,0.61085,0.38915,0.61085,NA,NA,0.38915,0.61085,0.29818,NA,0.70182,0.29818,0.70182,NA,NA,0.29818,0.70182,212121
"299",299,19,1133,19,"english","solid things",0.7,"striped things",0.25,"polka-dotted things",0.5,"blue things",0.3,"red things",0.75,"green things",0.5,212,221,221,"circle",321212,"True",1,2,3,11,5,5,NA,NA,NA,0.48276,0.17241,0.34483,0.19355,0.48387,0.32258,NA,1,NA,0.59207,0.40793,NA,0.40793,0.59207,NA,NA,1,NA,0.67363,0.32637,NA,0.32637,0.67363,NA,321212
"300",300,19,328,20,"english","clouds",0.7,"circles",0.35,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,212,313,"red",213211,"True",3,1,2,10,11,21,0.45161,0.22581,0.32258,0.33333,0.33333,0.33333,NA,NA,NA,0.6075,0.19625,0.19625,1,NA,NA,NA,0.6075,0.3925,0.39176,0.30412,0.30412,1,NA,NA,NA,0.6794,0.3206,213211
"301",301,20,81,6,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,331,232,112,"blue",122111,"False",3,1,2,9,17,10,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.16441,0.16441,0.67117,0.32883,NA,0.67117,0.67117,0.32883,NA,0.26667,0.26667,0.46667,0.31954,NA,0.68046,0.68046,0.31954,NA,122111
"302",302,20,2046,7,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.05,"clouds",0.05,"circles",0.95,"squares",0.5,211,231,111,"blue",322122,"True",3,2,1,2,8,1,0.03333,0.63333,0.33333,0.47619,0.47619,0.04762,NA,NA,NA,0.37344,0.62656,NA,0.62656,NA,0.37344,1,NA,NA,0.35186,0.64814,NA,0.64814,NA,0.35186,1,NA,NA,322122
"303",303,20,638,8,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,121,321,232,"cloud",112121,"False",1,2,3,4,6,17,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66392,0.16804,0.16804,NA,0.66392,0.33608,0.66392,0.33608,NA,0.4,0.3,0.3,NA,0.68905,0.31095,0.68905,0.31095,NA,112121
"304",304,20,1758,9,"English","blue things",0.5,"red things",0.65,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0,312,312,332,"square",322132,"True",1,3,2,12,12,18,NA,NA,NA,0.5,0.5,0,0.30303,0.39394,0.30303,NA,NA,1,0.63626,NA,0.36374,NA,1,NA,NA,NA,1,0.65773,NA,0.34227,NA,1,NA,323221
"305",305,20,722,10,"English","blue things",0.4,"red things",0.5,"green things",0.6,"clouds",0.05,"circles",0.5,"squares",0.6,313,113,321,"solid",212122,"True",2,3,1,21,19,6,0.04348,0.43478,0.52174,NA,NA,NA,0.26667,0.33333,0.4,0.35415,NA,0.64585,0.64585,0.35415,NA,0.35415,NA,0.64585,0.32828,NA,0.67172,0.67172,0.32828,NA,0.32828,NA,0.67172,212122
"306",306,20,1041,11,"English","blue things",0.7,"red things",0.15,"green things",0.5,"solid things",0.5,"striped things",0.65,"polka-dotted things",0.25,121,132,231,"cloud",212212,"True",1,3,2,4,16,8,NA,NA,NA,0.35714,0.46429,0.17857,0.51852,0.11111,0.37037,0.64019,0.35981,NA,NA,0.64019,0.35981,0.64019,0.35981,NA,0.66306,0.33694,NA,NA,0.66306,0.33694,0.66306,0.33694,NA,212212
"307",307,20,1515,12,"English","solid things",0.5,"striped things",0.05,"polka-dotted things",0.7,"blue things",0.5,"red things",0.5,"green things",0.5,231,221,223,"circle",322112,"True",1,2,3,8,5,23,NA,NA,NA,0.4,0.04,0.56,0.33333,0.33333,0.33333,NA,1,NA,NA,0.35985,0.64015,0.64015,NA,0.35985,NA,1,NA,NA,0.3316,0.6684,0.6684,NA,0.3316,322112
"308",308,20,1520,13,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.7,"clouds",0.65,"circles",0.25,"squares",0.5,131,111,211,"blue",322112,"True",3,2,1,7,1,2,0.46429,0.17857,0.35714,0.29412,0.29412,0.41176,NA,NA,NA,0.64015,0.35985,NA,0.35985,NA,0.64015,1,NA,NA,0.6684,0.3316,NA,0.3316,NA,0.6684,1,NA,NA,322112
"309",309,20,2323,14,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,223,222,222,"green",123232,"False",3,2,1,23,14,14,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,NA,1,NA,NA,1,NA,NA,0.34919,0.65081,NA,1,NA,NA,1,NA,NA,0.32739,0.67261,123232
"310",310,20,1561,15,"English","blue things",0.5,"red things",0.35,"green things",0.6,"solid things",0.5,"striped things",0.4,"polka-dotted things",0.65,133,133,122,"cloud",322121,"True",1,3,2,25,25,13,NA,NA,NA,0.32258,0.25806,0.41935,0.34483,0.24138,0.41379,1,NA,NA,NA,0.34697,0.65303,NA,0.34697,0.65303,1,NA,NA,NA,0.32288,0.67712,NA,0.32288,0.67712,322121
"311",311,20,937,16,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,321,321,112,"blue",212121,"False",3,2,1,6,6,10,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33608,NA,0.66392,0.33608,0.66392,NA,0.66392,0.33608,NA,0.31095,NA,0.68905,0.31095,0.68905,NA,0.68905,0.31095,NA,212121
"312",312,20,329,17,"English","solid things",0.7,"striped things",0.5,"polka-dotted things",0.3,"blue things",0.5,"red things",0.5,"green things",0.5,212,232,122,"circle",213211,"True",1,2,3,11,17,13,NA,NA,NA,0.46667,0.33333,0.2,0.33333,0.33333,0.33333,0.34152,0.65848,NA,0.65848,0.17076,0.17076,NA,1,NA,0.32739,0.67261,NA,0.33333,0.33333,0.33333,NA,1,NA,213211
"313",313,20,1537,18,"English","blue things",0.5,"red things",0.3,"green things",0.65,"solid things",0.5,"striped things",0.65,"polka-dotted things",0.3,323,322,332,"square",322112,"True",1,3,2,24,15,18,NA,NA,NA,0.34483,0.44828,0.2069,0.34483,0.2069,0.44828,NA,NA,1,NA,0.64015,0.35985,NA,0.35985,0.64015,NA,NA,1,NA,0.6684,0.3316,NA,0.3316,0.6684,322112
"314",314,20,716,19,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.65,"red things",0.5,"green things",0.3,221,223,331,"circle",212122,"True",1,2,3,5,23,9,NA,NA,NA,0.33333,0.33333,0.33333,0.44828,0.34483,0.2069,NA,0.64585,0.35415,NA,0.64585,0.35415,0.64585,NA,0.35415,NA,0.67172,0.32828,NA,0.67172,0.32828,0.67172,NA,0.32828,212122
"315",315,20,1876,20,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,332,233,233,"red",123212,"False",3,2,1,18,26,26,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,NA,0.34291,0.65709,NA,NA,1,NA,0.65709,0.34291,NA,0.31954,0.68046,NA,NA,1,NA,0.68046,0.31954,123212
"316",316,21,1006,6,"english","blue things",0.8,"red things",0.15,"green things",0.5,"solid things",0.2,"striped things",0.85,"polka-dotted things",0.5,121,112,222,"cloud",212212,"True",1,3,2,4,10,14,NA,NA,NA,0.12903,0.54839,0.32258,0.55172,0.10345,0.34483,0.59085,0.40915,NA,0.40915,0.59085,NA,0.59085,0.40915,NA,0.65339,0.34661,NA,0.34661,0.65339,NA,0.65339,0.34661,NA,212212
"317",317,21,2283,7,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.6,"squares",0.5,133,133,123,"polka-dotted",213232,"False",2,3,1,25,25,22,0.3125,0.375,0.3125,NA,NA,NA,0.33333,0.33333,0.33333,1,NA,NA,NA,0.39177,0.60823,NA,NA,1,1,NA,NA,NA,0.32632,0.67368,NA,NA,1,213232
"318",318,21,680,8,"english","solid things",0.5,"striped things",0.25,"polka-dotted things",0.7,"blue things",0.5,"red things",0.3,"green things",0.7,133,122,213,"cloud",212211,"True",1,2,3,25,13,20,NA,NA,NA,0.34483,0.17241,0.48276,0.33333,0.2,0.46667,0.60963,0.39037,NA,0.19519,0.19519,0.60963,NA,0.39037,0.60963,0.67203,0.32797,NA,0.25068,0.25068,0.49864,NA,0.32797,0.67203,212211
"319",319,21,704,9,"english","clouds",0.3,"circles",0.75,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,211,111,223,"solid",212122,"True",2,1,3,2,1,23,0.19355,0.48387,0.32258,NA,NA,NA,0.33333,0.33333,0.33333,0.39163,0.60837,NA,0.60837,0.39163,NA,0.60837,NA,0.39163,0.31745,0.68255,NA,0.68255,0.31745,NA,0.68255,NA,0.31745,212122
"320",320,21,1627,10,"english","solid things",0.25,"striped things",0.5,"polka-dotted things",0.7,"blue things",0.3,"red things",0.65,"green things",0.5,332,311,221,"square",211112,"True",1,2,3,18,3,5,NA,NA,NA,0.17241,0.34483,0.48276,0.2069,0.44828,0.34483,NA,0.38974,0.61026,0.19487,0.19487,0.61026,0.38974,0.61026,NA,NA,0.32698,0.67302,0.25068,0.25068,0.49864,0.32698,0.67302,NA,211211
"321",321,21,1936,11,"english","blue things",0.4,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.4,"squares",0.5,222,311,331,"striped",111212,"False",2,3,1,14,3,9,0.35714,0.28571,0.35714,NA,NA,NA,0.28571,0.35714,0.35714,NA,0.61692,0.38308,0.19154,0.61692,0.19154,0.38308,0.61692,NA,NA,0.69683,0.30317,0.25148,0.49705,0.25148,0.30317,0.69683,NA,111212
"322",322,21,862,12,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.4,"clouds",0.5,"circles",0.45,"squares",0.55,323,331,222,"green",112122,"False",3,2,1,24,9,14,0.33333,0.3,0.36667,0.35714,0.35714,0.28571,NA,NA,NA,NA,0.38732,0.61268,NA,0.61268,0.38732,0.19366,0.19366,0.61268,NA,0.3102,0.6898,NA,0.6898,0.3102,0.25148,0.25148,0.49705,112122
"323",323,21,434,13,"english","solid things",0.5,"striped things",0.3,"polka-dotted things",0.75,"blue things",0.75,"red things",0.3,"green things",0.25,131,122,123,"cloud",321112,"True",1,2,3,7,13,22,NA,NA,NA,0.32258,0.19355,0.48387,0.57692,0.23077,0.19231,1,NA,NA,NA,0.40352,0.59648,0.59648,0.20176,0.20176,1,NA,NA,NA,0.34126,0.65874,0.47975,0.26012,0.26012,321211
"324",324,21,1438,14,"english","blue things",0.5,"red things",0.3,"green things",0.75,"solid things",0.25,"striped things",0.75,"polka-dotted things",0.35,323,313,332,"square",322111,"True",1,3,2,24,21,18,NA,NA,NA,0.18519,0.55556,0.25926,0.32258,0.19355,0.48387,NA,NA,1,0.19693,0.60614,0.19693,NA,0.39386,0.60614,NA,NA,1,0.25473,0.49055,0.25473,NA,0.32886,0.67114,322111
"325",325,21,1503,15,"english","clouds",0.65,"circles",0.5,"squares",0.25,"solid things",0.1,"striped things",0.8,"polka-dotted things",0.5,121,111,311,"blue",322112,"True",3,1,2,4,1,3,0.46429,0.35714,0.17857,0.07143,0.57143,0.35714,NA,NA,NA,0.59247,NA,0.40753,0.40753,0.59247,NA,1,NA,NA,0.65609,NA,0.34391,0.34391,0.65609,NA,1,NA,NA,322112
"326",326,21,329,16,"english","solid things",0.75,"striped things",0.5,"polka-dotted things",0.25,"blue things",0.5,"red things",0.5,"green things",0.5,212,232,122,"circle",213211,"True",1,2,3,11,17,13,NA,NA,NA,0.5,0.33333,0.16667,0.33333,0.33333,0.33333,0.38759,0.61241,NA,0.61241,0.1938,0.1938,NA,1,NA,0.32632,0.67368,NA,0.49672,0.25164,0.25164,NA,1,NA,213211
"327",327,21,411,17,"english","blue things",0.15,"red things",0.9,"green things",0.5,"clouds",0.3,"circles",0.75,"squares",0.3,212,311,111,"solid",321112,"True",2,3,1,11,3,1,0.22222,0.55556,0.22222,NA,NA,NA,0.09677,0.58065,0.32258,0.20176,0.59648,0.20176,1,NA,NA,0.40352,0.59648,NA,0.26012,0.47975,0.26012,1,NA,NA,0.34126,0.65874,NA,321211
"328",328,21,1230,18,"english","clouds",0.4,"circles",0.6,"squares",0.5,"blue things",0.5,"red things",0.4,"green things",0.6,233,123,112,"polka-dotted",112112,"False",2,1,3,26,22,10,0.26667,0.4,0.33333,NA,NA,NA,0.33333,0.26667,0.4,0.3911,0.6089,NA,0.19555,0.19555,0.6089,NA,0.3911,0.6089,0.3165,0.6835,NA,0.25148,0.25148,0.49705,NA,0.3165,0.6835,112112
"329",329,21,1286,19,"english","solid things",0.6,"striped things",0.4,"polka-dotted things",0.4,"clouds",0.5,"circles",0.6,"squares",0.45,211,122,333,"blue",111111,"False",3,2,1,2,13,27,0.32258,0.3871,0.29032,0.42857,0.28571,0.28571,NA,NA,NA,0.18786,0.62428,0.18786,0.62428,0.18786,0.18786,0.62428,0.18786,0.18786,0.24032,0.51935,0.24032,0.51935,0.24032,0.24032,0.51935,0.24032,0.24032,111111
"330",330,21,478,20,"english","blue things",0.2,"red things",0.7,"green things",0.45,"solid things",0.7,"striped things",0.35,"polka-dotted things",0.4,312,321,133,"square",211111,"True",1,3,2,12,6,25,NA,NA,NA,0.48276,0.24138,0.27586,0.14815,0.51852,0.33333,0.38313,NA,0.61687,0.61687,0.19157,0.19157,0.19157,0.61687,0.19157,0.32632,NA,0.67368,0.49615,0.25192,0.25192,0.25192,0.49615,0.25192,211111
"331",331,22,2038,6,"English","solid things",0.7,"striped things",0.5,"polka-dotted things",0.05,"blue things",0.75,"red things",0.35,"green things",0,111,112,121,"cloud",322122,"True",1,2,3,1,10,4,NA,NA,NA,0.56,0.4,0.04,0.68182,0.31818,0,1,NA,NA,0.87789,0.12211,NA,0.87789,0.12211,NA,1,NA,NA,0.9214,0.0786,NA,0.9214,0.0786,NA,322122
"332",332,22,1636,7,"English","blue things",0.05,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0,"polka-dotted things",0.05,312,333,131,"square",211112,"True",1,3,2,12,27,7,NA,NA,NA,0.90909,0,0.09091,0.04762,0.47619,0.47619,0.12734,NA,0.87266,0.87266,NA,0.12734,0.06367,0.87266,0.06367,0.11001,NA,0.88999,0.88999,NA,0.11001,0.09485,0.8103,0.09485,211211
"333",333,22,2262,8,"English","blue things",0.95,"red things",0,"green things",0,"solid things",0.05,"striped things",0,"polka-dotted things",0.95,331,331,231,"square",213232,"False",1,3,2,9,9,8,NA,NA,NA,0.05,0,0.95,1,0,0,NA,0.14173,0.85827,NA,NA,1,1,NA,NA,NA,0.109,0.891,NA,NA,1,1,NA,NA,213232
"334",334,22,1942,9,"English","blue things",0,"red things",0,"green things",0.95,"clouds",0,"circles",0.95,"squares",0.05,223,132,112,"striped",111212,"False",2,3,1,23,16,10,0,0.95,0.05,NA,NA,NA,0,0,1,0.15406,0.84594,NA,0.07703,0.84594,0.07703,NA,0.15406,0.84594,0.12183,0.87817,NA,0.12269,0.75462,0.12269,NA,0.12183,0.87817,111212
"335",335,22,2088,10,"English","solid things",0,"striped things",0.95,"polka-dotted things",0.05,"blue things",0.05,"red things",1,"green things",0.05,122,111,133,"cloud",321111,"True",1,2,3,13,1,25,NA,NA,NA,0,0.95,0.05,0.04545,0.90909,0.04545,1,NA,NA,0.07396,0.85208,0.07396,0.07396,0.85208,0.07396,1,NA,NA,0.16642,0.66715,0.16642,0.16642,0.66715,0.16642,321111
"336",336,22,112,11,"English","clouds",1,"circles",0.05,"squares",0.05,"solid things",0.95,"striped things",0,"polka-dotted things",0,113,313,221,"green",212111,"True",3,1,2,19,21,5,0.90909,0.04545,0.04545,1,0,0,NA,NA,NA,0.8499,0.07505,0.07505,0.8499,0.1501,NA,0.1501,NA,0.8499,0.72372,0.13814,0.13814,0.88494,0.11506,NA,0.11506,NA,0.88494,212111
"337",337,22,1118,12,"English","clouds",0.05,"circles",1,"squares",0.05,"blue things",0.95,"red things",0.05,"green things",0,211,113,113,"solid",321212,"True",2,1,3,2,19,19,0.04545,0.90909,0.04545,NA,NA,NA,0.95,0.05,0,0.19696,0.80304,NA,1,NA,NA,0.80304,NA,0.19696,0.17052,0.82948,NA,1,NA,NA,0.82948,NA,0.17052,321212
"338",338,22,1120,13,"English","solid things",1,"striped things",0.05,"polka-dotted things",0.05,"blue things",1,"red things",0.05,"green things",0,211,223,223,"circle",321212,"True",1,2,3,2,23,23,NA,NA,NA,0.90909,0.04545,0.04545,0.95238,0.04762,0,NA,1,NA,0.80304,0.19696,NA,0.80304,NA,0.19696,NA,1,NA,0.82948,0.17052,NA,0.82948,NA,0.17052,321212
"339",339,22,1131,14,"English","blue things",0.05,"red things",0.95,"green things",0.05,"solid things",0,"striped things",0.95,"polka-dotted things",0.05,222,211,211,"circle",321212,"True",1,3,2,14,2,2,NA,NA,NA,0,0.95,0.05,0.04762,0.90476,0.04762,NA,1,NA,0.19696,0.80304,NA,0.19696,0.80304,NA,NA,1,NA,0.17052,0.82948,NA,0.17052,0.82948,NA,321212
"340",340,22,2128,15,"English","solid things",0,"striped things",0,"polka-dotted things",0,"blue things",0,"red things",0.05,"green things",0.05,321,132,212,"square",111112,"False",1,2,3,6,16,11,NA,NA,NA,0.33333,0.33333,0.33333,0,0.5,0.5,0.0408,0.0408,0.9184,0.0408,0.9184,0.0408,0.9184,0.0816,NA,0.08056,0.08056,0.83887,0.08056,0.83887,0.08056,0.94049,0.05951,NA,111211
"341",341,22,1584,16,"English","clouds",0,"circles",0.7,"squares",0,"blue things",0,"red things",0.95,"green things",0,212,212,313,"solid",322121,"True",2,1,3,11,11,21,0,1,0,NA,NA,NA,0,1,0,NA,0.84594,0.15406,1,NA,NA,NA,0.84594,0.15406,NA,0.87817,0.12183,1,NA,NA,NA,0.87817,0.12183,322121
"342",342,22,1128,17,"English","clouds",0.05,"circles",0.05,"squares",0.95,"solid things",0,"striped things",0,"polka-dotted things",0.95,332,122,122,"red",321212,"True",3,1,2,18,13,13,0.04762,0.04762,0.90476,0,0,1,NA,NA,NA,0.19696,NA,0.80304,NA,0.19696,0.80304,NA,1,NA,0.17052,NA,0.82948,NA,0.17052,0.82948,NA,1,NA,321212
"343",343,22,1351,18,"English","clouds",0.05,"circles",0.05,"squares",0.95,"solid things",0.05,"striped things",0.95,"polka-dotted things",0,323,331,312,"green",113211,"False",3,1,2,24,9,12,0.04762,0.04762,0.90476,0.05,0.95,0,NA,NA,NA,NA,NA,1,0.07279,0.85443,0.07279,0.07279,0.07279,0.85443,NA,NA,1,0.14223,0.71554,0.14223,0.14223,0.14223,0.71554,113211
"344",344,22,183,19,"English","solid things",0.95,"striped things",0,"polka-dotted things",0.05,"blue things",0.05,"red things",0,"green things",0.05,211,231,231,"circle",323212,"True",1,2,3,2,8,8,NA,NA,NA,0.95,0,0.05,0.5,0,0.5,NA,1,NA,0.85443,NA,0.14557,1,NA,NA,NA,1,NA,0.88772,NA,0.11228,1,NA,NA,323212
"345",345,22,236,20,"English","clouds",0,"circles",0.95,"squares",0,"blue things",0.05,"red things",0.05,"green things",0,212,212,122,"solid",212132,"False",2,1,3,11,11,13,0,1,0,NA,NA,NA,0.5,0.5,0,0.14762,0.85238,NA,0.85238,0.14762,NA,NA,1,NA,0.11506,0.88494,NA,0.88494,0.11506,NA,NA,1,NA,213221
"346",346,23,446,6,"English","clouds",0,"circles",0.85,"squares",0,"blue things",0.8,"red things",0,"green things",0.5,231,132,332,"polka-dotted",321112,"True",2,1,3,8,16,18,0,1,0,NA,NA,NA,0.61538,0,0.38462,0.18763,0.62474,0.18763,NA,NA,1,0.62474,0.37526,NA,0.26064,0.47872,0.26064,NA,NA,1,0.74423,0.25577,NA,321211
"347",347,23,468,7,"English","blue things",0.8,"red things",0.45,"green things",0,"clouds",0.8,"circles",0.15,"squares",0.5,111,213,322,"solid",211111,"True",2,3,1,1,20,15,0.55172,0.10345,0.34483,NA,NA,NA,0.64,0.36,0,0.66517,0.16741,0.16741,0.66517,0.33483,NA,0.66517,0.16741,0.16741,0.5146,0.2427,0.2427,0.76554,0.23446,NA,0.5146,0.2427,0.2427,211111
"348",348,23,664,8,"English","blue things",0.75,"red things",0.5,"green things",0.2,"solid things",0.85,"striped things",0.15,"polka-dotted things",0.5,211,223,112,"circle",212211,"True",1,3,2,2,23,10,NA,NA,NA,0.56667,0.1,0.33333,0.51724,0.34483,0.13793,0.3436,0.6564,NA,0.6564,0.3436,NA,0.6564,0.1718,0.1718,0.24213,0.75787,NA,0.75787,0.24213,NA,0.53236,0.23382,0.23382,212211
"349",349,23,2212,9,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.2,"striped things",0.85,"polka-dotted things",0.2,223,213,233,"circle",323211,"True",1,3,2,23,20,26,NA,NA,NA,0.16,0.68,0.16,0.33333,0.33333,0.33333,NA,1,NA,0.17107,0.65787,0.17107,NA,NA,1,NA,1,NA,0.24286,0.51428,0.24286,NA,NA,1,323211
"350",350,23,1765,10,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.1,"red things",0.9,"green things",0.5,132,132,131,"polka-dotted",322132,"True",2,1,3,16,16,7,0.33333,0.33333,0.33333,NA,NA,NA,0.06667,0.6,0.33333,1,NA,NA,NA,NA,1,0.35261,0.64739,NA,1,NA,NA,NA,NA,1,0.24668,0.75332,NA,323221
"351",351,23,311,11,"English","blue things",0.85,"red things",0.5,"green things",0.1,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,221,223,322,"circle",213211,"True",1,3,2,5,23,15,NA,NA,NA,0.33333,0.33333,0.33333,0.58621,0.34483,0.06897,NA,0.66233,0.33767,NA,1,NA,0.66233,0.16883,0.16883,NA,0.76555,0.23445,NA,1,NA,0.5247,0.23765,0.23765,213211
"352",352,23,551,12,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.15,"circles",0.5,"squares",0.85,311,111,112,"blue",213212,"True",3,2,1,3,1,10,0.1,0.33333,0.56667,0.33333,0.33333,0.33333,NA,NA,NA,0.35023,NA,0.64977,1,NA,NA,0.64977,0.35023,NA,0.24213,NA,0.75787,1,NA,NA,0.75787,0.24213,NA,213212
"353",353,23,848,13,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,123,222,331,"cloud",112111,"False",1,3,2,22,14,9,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.71269,0.14366,0.14366,NA,0.71269,0.28731,0.14366,0.14366,0.71269,0.58023,0.20989,0.20989,NA,0.81865,0.18135,0.20989,0.20989,0.58023,112111
"354",354,23,2167,14,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,332,121,211,"red",121111,"False",3,2,1,18,4,2,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.15429,0.15429,0.69143,0.15429,0.15429,0.69143,0.30857,0.69143,NA,0.20989,0.20989,0.58023,0.20989,0.20989,0.58023,0.23446,0.76554,NA,121111
