"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post_1","Post_2","Post_3","Post_4","Post_5","Post_6","Post_7","Post_8","Post_9","PostNotOpt_1","PostNotOpt_2","PostNotOpt_3","PostNotOpt_4","PostNotOpt_5","PostNotOpt_6","PostNotOpt_7","PostNotOpt_8","PostNotOpt_9","CCode","logLik"
"367",367,24,777,12,"English","clouds",0.5,"circles",0.5,"squares",0.25,"solid things",0.35,"striped things",0.65,"polka-dotted things",0.5,122,312,313,"red",211212,"True",3,1,2,13,12,21,0.4,0.4,0.2,0.23333,0.43333,0.33333,NA,NA,NA,0.43743,0.33333,0.22924,0.22924,0.43743,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,0,0.66667,0.33333,0.33333,0.33333,0.33333,211212,2.13298138132876
"368",368,24,2081,13,"English","clouds",0.35,"circles",0.35,"squares",0.6,"blue things",0.35,"red things",0.35,"green things",0.65,323,222,121,"striped",321111,"True",2,1,3,24,14,4,0.26923,0.26923,0.46154,NA,NA,NA,0.25926,0.25926,0.48148,0.22733,0.22733,0.54533,0.33333,0.33333,0.33333,0.22733,0.22733,0.54533,0,0,1,0.33333,0.33333,0.33333,0,0,1,321111,2.13755114445748
"369",369,24,1687,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,131,213,213,"polka-dotted",121212,"False",2,3,1,7,20,20,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,121212,2.19722457733622
"370",370,24,888,15,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,321,332,123,"blue",112122,"False",3,1,2,6,18,22,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122,2.19722457733622
"371",371,24,2127,16,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,123,331,211,"cloud",111112,"False",1,3,2,22,9,2,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,111211,2.19722457733622
"372",372,24,781,17,"English","blue things",0.7,"red things",0.5,"green things",0.35,"clouds",0.6,"circles",0.5,"squares",0.35,131,333,313,"polka-dotted",211212,"True",2,3,1,7,27,21,0.41379,0.34483,0.24138,NA,NA,NA,0.45161,0.32258,0.22581,0.43743,0.33333,0.22924,0.33333,0.33333,0.33333,0.43743,0.33333,0.22924,0.66667,0.33333,0,0.33333,0.33333,0.33333,0.66667,0.33333,0,211212,2.13693845624697
"373",373,24,834,18,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,223,231,312,"striped",112111,"False",2,1,3,23,8,12,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112111,2.19722457733622
"374",374,24,1626,19,"English","clouds",0.7,"circles",0.5,"squares",0.35,"solid things",0.65,"striped things",0.5,"polka-dotted things",0.35,113,333,322,"green",211112,"True",3,1,2,19,27,15,0.45161,0.32258,0.22581,0.43333,0.33333,0.23333,NA,NA,NA,0.43731,0.33333,0.22936,0.47068,0.33329,0.19603,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.69231,0.30769,0,0.33333,0.33333,0.33333,211211,2.13343242260625
"375",375,24,1432,20,"English","blue things",0.7,"red things",0.35,"green things",0.5,"solid things",0.4,"striped things",0.75,"polka-dotted things",0.25,321,331,312,"square",322111,"True",1,3,2,6,9,12,NA,NA,NA,0.28571,0.53571,0.17857,0.45161,0.22581,0.32258,0.33333,0.33333,0.33333,0.22746,0.54524,0.2273,0.41958,0.24708,0.33333,0.33333,0.33333,0.33333,0,1,0,0.66667,0,0.33333,322111,2.07485346183685
"376",391,26,499,6,"English","solid things",0.6,"striped things",0.2,"polka-dotted things",0.2,"blue things",0.35,"red things",0.35,"green things",0.75,313,322,231,"square",211111,"True",1,2,3,21,15,8,NA,NA,NA,0.6,0.2,0.2,0.24138,0.24138,0.51724,0.33333,0.29806,0.36861,0.43153,0.27374,0.29473,0.29473,0.27374,0.43153,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0,0.66667,211111,2.05002268565602
"377",392,26,1587,7,"English","blue things",0.3,"red things",0.6,"green things",0.5,"clouds",0.75,"circles",0.6,"squares",0.3,112,112,313,"solid",322121,"True",2,3,1,10,10,21,0.45455,0.36364,0.18182,NA,NA,NA,0.21429,0.42857,0.35714,0.38232,0.33333,0.28434,0.33333,0.33333,0.33333,0.33333,0.38232,0.28434,0.66667,0.33333,0,0.33333,0.33333,0.33333,0.33333,0.66667,0,322121,2.16180163704803
"378",393,26,2047,8,"English","solid things",0.5,"striped things",0.35,"polka-dotted things",0.6,"blue things",0.6,"red things",0.5,"green things",0.45,131,133,121,"cloud",322122,"True",1,2,3,7,25,4,NA,NA,NA,0.34483,0.24138,0.41379,0.3871,0.32258,0.29032,0.33333,0.33333,0.33333,0.33333,0.28361,0.38306,0.38306,0.33333,0.28361,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.66667,0.33333,0,322122,2.17176181350053
"379",394,26,1693,9,"English","clouds",0.5,"circles",0.3,"squares",0.55,"blue things",0.6,"red things",0.5,"green things",0.35,311,233,233,"solid",121212,"False",2,1,3,3,26,26,0.37037,0.22222,0.40741,NA,NA,NA,0.41379,0.34483,0.24138,0.33333,0.25185,0.41482,0.41482,0.33333,0.25185,0.41482,0.33333,0.25185,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,121212,2.14758522041653
"380",395,26,424,10,"English","solid things",0.45,"striped things",0.6,"polka-dotted things",0.45,"clouds",0.4,"circles",0.6,"squares",0.5,222,132,112,"red",321112,"True",3,2,1,14,16,10,0.26667,0.4,0.33333,0.3,0.4,0.3,NA,NA,NA,0.23687,0.42979,0.33333,0.27936,0.44129,0.27936,0.33333,0.33333,0.33333,0,0.66667,0.33333,0,1,0,0.33333,0.33333,0.33333,321211,2.18042940679462
"381",396,26,436,11,"English","solid things",0.5,"striped things",0.35,"polka-dotted things",0.6,"blue things",0.45,"red things",0.45,"green things",0.6,233,222,221,"circle",321112,"True",1,2,3,26,14,5,NA,NA,NA,0.34483,0.24138,0.41379,0.3,0.3,0.4,0.33333,0.33333,0.33333,0.33333,0.23687,0.42979,0.27936,0.27936,0.44129,0.33333,0.33333,0.33333,0.33333,0,0.66667,0,0,1,321211,2.16828505725248
"382",397,26,2094,12,"English","clouds",0.6,"circles",0.4,"squares",0.4,"solid things",0.4,"striped things",0.6,"polka-dotted things",0.4,121,231,311,"blue",321111,"True",3,1,2,4,8,3,0.42857,0.28571,0.28571,0.28571,0.42857,0.28571,NA,NA,NA,0.44078,0.27961,0.27961,0.27961,0.44078,0.27961,0.33333,0.33333,0.33333,1,0,0,0,1,0,0.33333,0.33333,0.33333,321111,2.15859010524112
"383",398,26,1491,13,"English","solid things",0.5,"striped things",0.45,"polka-dotted things",0.6,"clouds",0.5,"circles",0.5,"squares",0.5,133,111,121,"green",123211,"False",3,2,1,25,1,4,0.33333,0.33333,0.33333,0.32258,0.29032,0.3871,NA,NA,NA,0.33333,0.33333,0.33333,0.28952,0.28952,0.42097,0.25272,0.33333,0.41395,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123211,2.19324872324484
"384",399,26,330,14,"English","blue things",0.35,"red things",0.6,"green things",0.6,"clouds",0.5,"circles",0.5,"squares",0.5,312,311,333,"solid",213211,"True",2,3,1,12,3,27,0.33333,0.33333,0.33333,NA,NA,NA,0.22581,0.3871,0.3871,0.33333,0.33333,0.33333,0.36852,0.33333,0.29814,0.27371,0.43147,0.29482,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.66667,0.33333,213211,2.18936184593381
"385",400,26,736,15,"English","blue things",0.65,"red things",0.5,"green things",0.4,"solid things",0.35,"striped things",0.45,"polka-dotted things",0.5,211,213,321,"circle",212122,"True",1,3,2,2,20,6,NA,NA,NA,0.26923,0.34615,0.38462,0.41935,0.32258,0.25806,0.33333,0.36835,0.29831,0.36835,0.29831,0.33333,0.3903,0.33333,0.27636,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,212122,2.19095320786038
"386",401,26,114,16,"English","blue things",0.6,"red things",0.45,"green things",0.45,"clouds",0.45,"circles",0.4,"squares",0.5,311,211,123,"solid",212111,"True",2,3,1,3,2,22,0.33333,0.2963,0.37037,NA,NA,NA,0.4,0.3,0.3,0.29507,0.27361,0.43132,0.36828,0.29838,0.33333,0.36828,0.33333,0.29838,0.33333,0,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,212111,2.19426720797333
"387",402,26,866,17,"English","blue things",0.45,"red things",0.6,"green things",0.5,"clouds",0.35,"circles",0.5,"squares",0.6,312,331,122,"solid",112122,"False",2,3,1,12,9,13,0.24138,0.34483,0.41379,NA,NA,NA,0.29032,0.3871,0.32258,0.292,0.33333,0.37466,0.41995,0.29002,0.29002,0.292,0.37466,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122,2.17399823550485
"388",403,26,1816,18,"English","clouds",0.6,"circles",0.4,"squares",0.5,"solid things",0.5,"striped things",0.6,"polka-dotted things",0.5,121,123,213,"blue",122121,"False",3,1,2,4,22,20,0.4,0.26667,0.33333,0.3125,0.375,0.3125,NA,NA,NA,0.37435,0.29232,0.33333,0.29232,0.37435,0.33333,0.41351,0.33333,0.25315,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122121,2.18333503360864
"389",404,26,253,19,"English","blue things",0.5,"red things",0.6,"green things",0.4,"solid things",0.6,"striped things",0.5,"polka-dotted things",0.5,332,313,132,"square",212222,"True",1,3,2,18,21,16,NA,NA,NA,0.375,0.3125,0.3125,0.33333,0.4,0.26667,0.29781,0.33333,0.36886,0.27696,0.33333,0.38971,0.33333,0.38971,0.27696,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.33333,0.66667,0,212222,2.20477911744598
"390",405,26,1496,20,"English","blue things",0.45,"red things",0.45,"green things",0.55,"solid things",0.5,"striped things",0.6,"polka-dotted things",0.45,123,222,221,"cloud",123211,"False",1,3,2,22,14,5,NA,NA,NA,0.32258,0.3871,0.29032,0.31034,0.31034,0.37931,0.41395,0.25272,0.33333,0.33333,0.33333,0.33333,0.28952,0.28952,0.42097,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123211,2.19616353192515
"391",406,27,2358,6,"English","blue things",0,"red things",0,"green things",0.5,"clouds",0,"circles",0.5,"squares",0,213,233,223,"solid",113232,"False",2,3,1,20,26,23,0,1,0,NA,NA,NA,0,0,1,0.33333,0.33333,0.33333,0.98349,0.00826,0.00826,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,113232,2.19722457733622
"392",407,27,1512,7,"English","solid things",0,"striped things",0.5,"polka-dotted things",0,"blue things",0,"red things",1,"green things",0,122,123,133,"cloud",322112,"True",1,2,3,13,22,25,NA,NA,NA,0,1,0,0,1,0,0.33333,0.33333,0.33333,0.33333,0.65656,0.01011,0.33333,0.66405,0.00262,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.66667,0,322112,0.83014381280647
"393",408,27,2088,8,"English","solid things",0.05,"striped things",1,"polka-dotted things",0,"blue things",0,"red things",0.95,"green things",0,122,111,133,"cloud",321111,"True",1,2,3,13,1,25,NA,NA,NA,0.04762,0.95238,0,0,1,0,0.33333,0.33333,0.33333,0.00767,0.98466,0.00767,0.00767,0.98466,0.00767,0.33333,0.33333,0.33333,0,1,0,0,1,0,321111,0.262109066254743
"394",409,27,1725,9,"English","clouds",0,"circles",1,"squares",0,"solid things",1,"striped things",0.05,"polka-dotted things",0,211,231,333,"blue",212112,"True",3,1,2,2,8,27,0,1,0,0.95238,0.04762,0,NA,NA,NA,0.33333,0.65578,0.01089,0.66395,0.33333,0.00271,0.65578,0.33333,0.01089,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.33333,0.33333,0.33333,212112,0.86429109665927
"395",410,27,2028,10,"English","clouds",0.5,"circles",0.05,"squares",0.05,"solid things",0.95,"striped things",0,"polka-dotted things",0.05,113,133,213,"green",322122,"True",3,1,2,19,25,20,0.83333,0.08333,0.08333,0.95,0,0.05,NA,NA,NA,0.65656,0.01011,0.33333,0.65656,0.33333,0.01011,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.66667,0.33333,0,0.33333,0.33333,0.33333,322122,1.45444015668458
"396",411,27,935,11,"English","blue things",0,"red things",0,"green things",1,"clouds",0.5,"circles",0.05,"squares",0,133,133,212,"polka-dotted",212121,"False",2,3,1,25,25,11,0.90909,0.09091,0,NA,NA,NA,0,0,1,0.65578,0.01089,0.33333,0.01089,0.33333,0.65578,0.33333,0.01089,0.65578,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,212121,1.21640590849038
"397",412,27,1963,12,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,312,312,312,"red",323232,"False",3,1,2,12,12,12,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"398",413,27,453,13,"English","clouds",0.95,"circles",0,"squares",0,"solid things",1,"striped things",0,"polka-dotted things",0.05,112,332,221,"red",211111,"True",3,1,2,10,18,5,1,0,0,0.95238,0,0.04762,NA,NA,NA,0.98407,0.00826,0.00766,0.98407,0.00826,0.00766,0.01089,0.65578,0.33333,0.66667,0.33333,0,0.66667,0.33333,0,0.33333,0.33333,0.33333,211111,0.263304576848651
"399",414,27,1304,14,"English","solid things",0,"striped things",0,"polka-dotted things",0.5,"blue things",0,"red things",0.5,"green things",0,232,331,312,"circle",122122,"False",1,2,3,17,9,12,NA,NA,NA,0,0,1,0,1,0,0.33333,0.66385,0.00282,0.0105,0.33333,0.65617,0.0105,0.65617,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122122,0.842677385920696
"400",415,27,1477,15,"English","blue things",0,"red things",0,"green things",0.5,"solid things",1,"striped things",0,"polka-dotted things",0,313,123,133,"square",123211,"False",1,3,2,21,22,25,NA,NA,NA,1,0,0,0,0,1,0.00282,0.33333,0.66385,0.98349,0.00826,0.00826,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123211,1.11526151596757
"401",416,27,267,16,"English","clouds",0,"circles",0.5,"squares",0,"solid things",0,"striped things",0,"polka-dotted things",0.5,233,123,232,"green",212222,"True",3,1,2,26,22,17,0,1,0,0,0,1,NA,NA,NA,0.00975,0.65692,0.33333,0.33333,0.00975,0.65692,0.33333,0.01089,0.65578,0,0.66667,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,212222,0.840397849830919
"402",417,27,1032,17,"English","clouds",0,"circles",1,"squares",0,"solid things",0,"striped things",0.55,"polka-dotted things",0,221,311,323,"blue",212212,"True",3,1,2,5,3,24,0,1,0,0,1,0,NA,NA,NA,0.33333,0.66395,0.00271,0.00975,0.65692,0.33333,0.65578,0.33333,0.01089,0.33333,0.66667,0,0,0.66667,0.33333,0.33333,0.33333,0.33333,212212,0.829740559245462
"403",418,27,1448,18,"English","solid things",0,"striped things",1,"polka-dotted things",0,"blue things",0,"red things",0,"green things",0.5,123,113,131,"cloud",322111,"True",1,2,3,22,19,7,NA,NA,NA,0,1,0,0,0,1,0.33333,0.33333,0.33333,0.00767,0.98466,0.00767,0.01011,0.33333,0.65656,0.33333,0.33333,0.33333,0,1,0,0,0.33333,0.66667,322111,0.436206209307965
"404",419,27,338,19,"English","clouds",0,"circles",0,"squares",1,"solid things",0.5,"striped things",0,"polka-dotted things",0,312,112,213,"red",213211,"True",3,1,2,12,10,20,0,0,1,1,0,0,NA,NA,NA,0.00766,0.00826,0.98407,0.33333,0.33333,0.33333,0.33333,0.65578,0.01089,0,0.33333,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,213211,1.11466755953478
"405",420,27,1540,20,"English","solid things",0,"striped things",1,"polka-dotted things",0.05,"clouds",0,"circles",0,"squares",0.5,323,313,113,"green",322112,"True",3,2,1,24,21,19,0,0,1,0,0.95238,0.04762,NA,NA,NA,0.01011,0.33333,0.65656,0.00262,0.66405,0.33333,0.33333,0.33333,0.33333,0,0.33333,0.66667,0,0.66667,0.33333,0.33333,0.33333,0.33333,322112,0.86296360258147
"406",421,28,175,6,"english","solid things",0.45,"striped things",0.55,"polka-dotted things",0.5,"blue things",0.5,"red things",0.95,"green things",0.5,222,223,223,"circle",323212,"True",1,2,3,14,23,23,NA,NA,NA,0.3,0.36667,0.33333,0.25641,0.48718,0.25641,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.3912,0.27547,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,323212,2.16813174943809
"407",422,28,420,7,"english","clouds",0.5,"circles",0.5,"squares",0.85,"blue things",0.5,"red things",0.5,"green things",0.8,323,121,221,"striped",321112,"True",2,1,3,24,4,5,0.27027,0.27027,0.45946,NA,NA,NA,0.27778,0.27778,0.44444,0.29437,0.29437,0.41127,0.33333,0.33333,0.33333,0.27706,0.33333,0.38961,0,0,1,0.33333,0.33333,0.33333,0,0.33333,0.66667,321211,2.14992314892822
"408",423,28,1755,8,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.65,"circles",0.5,"squares",0.5,131,131,331,"polka-dotted",322132,"True",2,3,1,7,7,9,0.39394,0.30303,0.30303,NA,NA,NA,0.33333,0.33333,0.33333,0.35655,0.33333,0.31012,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323221,2.19257749205226
"409",424,28,885,9,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,113,131,223,"solid",112122,"False",2,3,1,19,7,23,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.3358,0.33087,0.33333,0.339,0.3305,0.3305,0.33087,0.33333,0.3358,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122,2.19726111626707
"410",425,28,1975,10,"english","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,233,233,233,"green",323232,"False",3,1,2,26,26,26,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"411",426,28,1444,11,"english","clouds",0.35,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,311,111,221,"blue",322111,"True",3,1,2,3,1,5,0.25926,0.37037,0.37037,0.33333,0.33333,0.33333,NA,NA,NA,0.29506,0.30148,0.40345,0.35817,0.30849,0.33333,0.33333,0.33333,0.33333,0,0,1,0.66667,0,0.33333,0.33333,0.33333,0.33333,322111,2.1971831835643
"412",427,28,197,12,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.55,"circles",0.5,"squares",0.5,111,131,131,"blue",323212,"True",3,2,1,1,7,7,0.35484,0.32258,0.32258,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.3912,0.33333,0.27547,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.33333,0,0.33333,0.33333,0.33333,323212,2.2074229902115
"413",428,28,863,13,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,232,331,122,"circle",112122,"False",1,2,3,17,9,13,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.3305,0.339,0.3305,0.33333,0.33087,0.3358,0.33087,0.3358,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122,2.19726111626707
"414",429,28,1292,14,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,223,331,112,"green",111111,"False",3,2,1,23,9,10,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.32995,0.3401,0.32995,0.32995,0.3401,0.32995,0.32995,0.32995,0.3401,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,111111,2.19742928330515
"415",430,28,865,15,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,213,221,112,"green",112122,"False",3,2,1,20,5,10,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33087,0.3358,0.33333,0.3358,0.33087,0.33333,0.3305,0.3305,0.339,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122,2.19726111626707
"416",431,28,782,16,"english","blue things",0.5,"red things",0.5,"green things",0.8,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,133,112,212,"cloud",211212,"True",1,3,2,25,10,11,NA,NA,NA,0.33333,0.33333,0.33333,0.27778,0.27778,0.44444,0.33482,0.33185,0.33333,0.28505,0.33333,0.38162,0.33333,0.28505,0.38162,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.33333,0,0.66667,211212,2.18763784585579
"417",432,28,467,17,"english","clouds",0.5,"circles",0.65,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.75,232,112,321,"red",211111,"True",3,1,2,17,10,6,0.30303,0.39394,0.30303,0.28571,0.28571,0.42857,NA,NA,NA,0.28235,0.38607,0.33159,0.28235,0.33159,0.38607,0.332,0.33466,0.33333,0,0.66667,0.33333,0,0.33333,0.66667,0.33333,0.33333,0.33333,211111,2.17725329809495
"418",433,28,776,18,"english","blue things",0.5,"red things",0.5,"green things",0.65,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.75,133,112,312,"cloud",211212,"True",1,3,2,25,10,12,NA,NA,NA,0.28571,0.28571,0.42857,0.30303,0.30303,0.39394,0.33482,0.33333,0.33185,0.28505,0.33333,0.38162,0.33333,0.28505,0.38162,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.33333,0,0.66667,211212,2.1780860156944
"419",434,28,788,19,"english","blue things",0.7,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.6,"squares",0.5,231,332,312,"polka-dotted",211212,"True",2,3,1,8,18,12,0.3125,0.375,0.3125,NA,NA,NA,0.41176,0.29412,0.29412,0.33333,0.38162,0.28505,0.33185,0.33333,0.33482,0.38162,0.28505,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.66667,0,0.33333,211212,2.18571887048893
"420",435,28,497,20,"english","clouds",0.5,"circles",0.5,"squares",0.65,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.65,332,222,111,"red",211111,"True",3,1,2,18,14,1,0.30303,0.30303,0.39394,0.30303,0.30303,0.39394,NA,NA,NA,0.33159,0.28235,0.38607,0.33159,0.28235,0.38607,0.332,0.33466,0.33333,0.33333,0,0.66667,0.33333,0,0.66667,0.33333,0.33333,0.33333,211111,2.18530549498335
"421",436,29,853,6,"English","blue things",0.5,"red things",0.7,"green things",0.5,"solid things",0.5,"striped things",0.6,"polka-dotted things",0.5,322,121,232,"square",112122,"False",1,3,2,15,4,17,NA,NA,NA,0.3125,0.375,0.3125,0.29412,0.41176,0.29412,0.29993,0.29993,0.40014,0.33333,0.36537,0.3013,0.3013,0.36537,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122,2.18632240082566
"422",437,29,278,7,"English","clouds",0.5,"circles",0.7,"squares",0.5,"solid things",0.65,"striped things",0.5,"polka-dotted things",0.5,211,121,213,"blue",212222,"True",3,1,2,2,4,20,0.29412,0.41176,0.29412,0.39394,0.30303,0.30303,NA,NA,NA,0.30101,0.36565,0.33333,0.36565,0.30101,0.33333,0.36523,0.33333,0.30144,0,0.66667,0.33333,0.66667,0,0.33333,0.33333,0.33333,0.33333,212222,2.18356459587857
"423",438,29,903,8,"English","solid things",0.5,"striped things",0.6,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.65,323,323,112,"green",212121,"False",3,2,1,24,24,10,0.30303,0.30303,0.39394,0.3125,0.375,0.3125,NA,NA,NA,0.30144,0.33333,0.36523,0.30144,0.36523,0.33333,0.33333,0.30144,0.36523,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,212121,2.18886763248584
"424",439,29,1607,9,"English","blue things",0.5,"red things",0.5,"green things",0.7,"solid things",0.5,"striped things",0.6,"polka-dotted things",0.5,123,132,331,"cloud",211112,"True",1,3,2,22,16,9,NA,NA,NA,0.3125,0.375,0.3125,0.29412,0.29412,0.41176,0.36523,0.33333,0.30144,0.33333,0.39667,0.26999,0.30005,0.29965,0.4003,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.30769,0,0.69231,211211,2.18473222636282
"425",440,29,301,10,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.6,"blue things",0.55,"red things",0.5,"green things",0.5,131,132,333,"cloud",213211,"True",1,2,3,7,16,27,NA,NA,NA,0.3125,0.3125,0.375,0.35484,0.32258,0.32258,0.36523,0.33333,0.30144,0.33333,0.33333,0.33333,0.4003,0.29965,0.30005,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,213211,2.20056179526334
"426",441,29,1785,11,"English","solid things",0.5,"striped things",0.6,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,223,223,233,"green",322132,"True",3,2,1,23,23,26,0.33333,0.33333,0.33333,0.3125,0.375,0.3125,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.36551,0.30115,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0,0.33333,0.33333,0.33333,323221,2.19439072489554
