"","X.1","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik","FeatTypeOrder.1","FeatTypeOrder.2","FeatTypeOrder.3","FeatValueOrders.1","FeatValueOrders.2","FeatValueOrders.3","FeatValueOrders.4","FeatValueOrders.5","FeatValueOrders.6","FeatValueOrders.7","FeatValueOrders.8","FeatValueOrders.9"
"352", 352, 352,23, 551,12,"English","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"clouds",0.15,"circles",0.50,"squares",0.85,311,111,112,"blue",213212, TRUE,3,2,1, 3, 1,10,NA,NA,NA,1.0000000,NA,NA,0.8500007,0.14999925,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,0.5000000,0.500000000,NA,1.0000000,NA,NA,0.8582057,0.141794291,NA,213212,0,3,2,1,0,1,2,0,1,2,2,0,1
"353", 353, 353,23, 848,13,"English","blue things",0.50,"red things",0.50,"green things",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,123,222,331,"cloud",112111,FALSE,1,3,2,22,14, 9,NA,NA,NA,0.5000000,0.50000000,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.3333333,0.3333333,0.3333333,0.3333333,0.333333333,0.333333333,0.5000000,0.500000000,NA,0.3333333,0.333333333,0.333333333,112111,0,1,2,3,0,1,2,1,2,0,2,1,0
"354", 354, 354,23,2167,14,"English","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,332,121,211,"red",121111,FALSE,3,2,1,18, 4, 2,NA,NA,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.33333333,0.33333333,0.5000000,0.5000000,NA,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.5000000,0.500000000,NA,0.3333333,0.333333333,0.333333333,0.3333333,0.333333333,0.333333333,121111,0,3,2,1,1,0,2,2,1,0,2,0,1
"355", 355, 355,23,1169,15,"English","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"clouds",0.50,"circles",0.80,"squares",0.20,232,332,233,"red",212232, TRUE,3,2,1,17,18,26,NA,NA,NA,1.0000000,NA,NA,0.8000030,0.19999700,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,0.5000000,0.500000000,NA,1.0000000,NA,NA,0.9055155,0.094484528,NA,213222,0,3,2,1,1,2,0,2,0,1,1,2,0
"356", 356, 356,23, 854,16,"English","blue things",0.50,"red things",0.50,"green things",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,131,332,221,"cloud",112122,FALSE,1,3,2, 7,18, 5,NA,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.50000000,NA,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.3333333,0.333333333,0.333333333,0.5000000,0.500000000,NA,0.5000000,0.500000000,NA,112122,0,1,2,3,0,2,1,2,1,0,0,1,2
"357", 357, 357,23, 813,17,"English","solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,213,222,331,"green",112111,FALSE,3,2,1,20,14, 9,NA,NA,NA,0.5000000,0.50000000,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.3333333,0.3333333,0.3333333,0.3333333,0.333333333,0.333333333,0.5000000,0.500000000,NA,0.3333333,0.333333333,0.333333333,112111,0,3,1,2,2,1,0,1,2,0,0,1,2
"358", 358, 358,23,2280,18,"English","clouds",0.50,"circles",0.50,"squares",0.50,"blue things",0.50,"red things",0.50,"green things",0.50,222,222,212,"striped",213232,FALSE,2,1,3,14,14,11,NA,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.5000000,0.5000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.5000000,0.500000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,213232,0,2,1,3,1,0,2,1,0,2,1,0,2
"359", 359, 359,23, 171,19,"English","blue things",0.50,"red things",0.50,"green things",0.50,"clouds",0.50,"circles",0.00,"squares",0.95,322,222,222,"striped",323212, TRUE,2,3,1,15,14,14,NA,NA,NA,1.0000000,NA,NA,1.0000000,0.00000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.9113654,0.088634557,NA,323212,0,2,3,1,1,0,2,1,0,2,2,1,0
"360", 360, 360,23,1535,20,"English","clouds",0.80,"circles",0.50,"squares",0.15,"blue things",0.85,"red things",0.50,"green things",0.05,111,113,313,"solid",322112, TRUE,2,1,3, 1,19,21,NA,NA,NA,0.8421020,0.15789795,NA,0.9444505,0.05554951,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.8494308,0.150569247,NA,0.9113654,0.088634557,NA,322112,0,2,1,3,0,1,2,0,2,1,0,2,1
"361", 361, 361,24, 661, 6,"English","solid things",0.80,"striped things",0.20,"polka-dotted things",0.50,"clouds",0.50,"circles",0.30,"squares",0.70,312,222,333,"red",212211, TRUE,3,2,1,12,14,27,NA,NA,NA,0.7000015,0.29999850,NA,0.5333353,0.13333133,0.33333333,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.6666700,0.0000000,0.3333300,0.5007800,0.499219992,NA,0.6812468,0.318753188,NA,0.4710047,0.196351964,0.332643326,212211,0,3,1,2,1,2,0,2,1,0,0,1,2
"362", 362, 362,24,1761, 7,"English","clouds",0.50,"circles",0.50,"squares",0.50,"solid things",0.60,"striped things",0.40,"polka-dotted things",0.50,313,313,323,"green",322132, TRUE,3,1,2,21,21,24,NA,NA,NA,1.0000000,NA,NA,0.5999970,0.40000300,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.6295469,0.370453148,NA,323221,0,3,1,2,2,0,1,2,0,1,0,1,2
"363", 363, 363,24, 330, 8,"English","clouds",0.50,"circles",0.50,"squares",0.50,"blue things",0.25,"red things",0.80,"green things",0.50,312,311,333,"solid",213211, TRUE,2,1,3,12, 3,27,NA,NA,NA,1.0000000,NA,NA,0.5161300,0.16129000,0.32258000,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.6666700,0.0000000,0.3333300,0.5007800,0.499219992,NA,1.0000000,NA,NA,0.4710047,0.196351964,0.332643326,213211,0,2,1,3,0,2,1,2,0,1,1,0,2
"364", 364, 364,24,1641, 9,"English","blue things",0.50,"red things",0.75,"green things",0.25,"clouds",0.50,"circles",0.70,"squares",0.35,212,313,133,"solid",211112, TRUE,2,3,1,11,21,25,NA,NA,NA,0.7499963,0.25000375,NA,0.4516100,0.22581000,0.32258000,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.6666700,0.0000000,0.3333300,0.5007800,0.499219992,NA,0.6560466,0.343953440,NA,0.4710047,0.196351964,0.332643326,211211,0,2,3,1,0,2,1,1,2,0,1,2,0
"365", 365, 365,24, 844,10,"English","blue things",0.50,"red things",0.50,"green things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,113,323,232,"solid",112111,FALSE,2,3,1,19,24,17,NA,NA,NA,0.5000000,0.50000000,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.3333333,0.3333333,0.3333333,0.3352866,0.332356676,0.332356676,0.5015525,0.498447508,NA,0.3352866,0.332356676,0.332356676,112111,0,2,3,1,0,1,2,2,1,0,0,2,1
"366", 366, 366,24,1784,11,"English","blue things",0.30,"red things",0.50,"green things",0.60,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,123,123,121,"cloud",322132, TRUE,1,3,2,22,22, 4,NA,NA,NA,1.0000000,NA,NA,0.6666615,0.33333852,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.6295469,0.370453148,NA,323221,0,1,2,3,0,1,2,1,0,2,2,0,1
"367", 367, 367,24, 777,12,"English","clouds",0.50,"circles",0.50,"squares",0.25,"solid things",0.35,"striped things",0.65,"polka-dotted things",0.50,122,312,313,"red",211212, TRUE,3,1,2,13,12,21,NA,NA,NA,0.6500015,0.34999850,NA,0.6666667,0.33333333,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,0.5007800,0.499219992,NA,0.6560466,0.343953440,NA,0.6560466,0.343953440,NA,211212,0,3,2,1,1,2,0,1,0,2,0,2,1
"368", 368, 368,24,2081,13,"English","clouds",0.35,"circles",0.35,"squares",0.60,"blue things",0.35,"red things",0.35,"green things",0.65,323,222,121,"striped",321111, TRUE,2,1,3,24,14, 4,NA,NA,NA,0.4615400,0.26923000,0.26923000,0.4814800,0.25926000,0.25926000,1.0000000,NA,NA,1.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.5453245,0.227337727,0.227337727,0.5453245,0.227337727,0.227337727,321111,0,2,1,3,1,0,2,2,1,0,2,1,0
"369", 369, 369,24,1687,14,"English","blue things",0.50,"red things",0.50,"green things",0.50,"clouds",0.50,"circles",0.50,"squares",0.50,131,213,213,"polka-dotted",121212,FALSE,2,3,1, 7,20,20,NA,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.50000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5021975,0.497802511,NA,0.5021975,0.497802511,NA,0.5021975,0.497802511,NA,121212,0,2,1,3,2,0,1,0,1,2,0,2,1
"370", 370, 370,24, 888,15,"English","clouds",0.50,"circles",0.50,"squares",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,321,332,123,"blue",112122,FALSE,3,1,2, 6,18,22,NA,NA,NA,0.5000000,0.50000000,NA,0.5000000,0.50000000,NA,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.3352866,0.332356676,0.332356676,0.5015525,0.498447508,NA,0.5015525,0.498447508,NA,112122,0,3,2,1,0,2,1,1,2,0,2,0,1
"371", 371, 371,24,2127,16,"English","blue things",0.50,"red things",0.50,"green things",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,123,331,211,"cloud",111112,FALSE,1,3,2,22, 9, 2,NA,NA,NA,0.5000000,0.50000000,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.3333333,0.3333333,0.3333333,0.3352866,0.332356676,0.332356676,0.5021975,0.497802511,NA,0.3352866,0.332356676,0.332356676,111211,0,1,3,2,0,2,1,2,0,1,1,2,0
"372", 372, 372,24, 781,17,"English","blue things",0.70,"red things",0.50,"green things",0.35,"clouds",0.60,"circles",0.50,"squares",0.35,131,333,313,"polka-dotted",211212, TRUE,2,3,1, 7,27,21,NA,NA,NA,0.6315765,0.36842346,NA,0.6666617,0.33333825,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,0.5007800,0.499219992,NA,0.6560466,0.343953440,NA,0.6560466,0.343953440,NA,211212,0,2,1,3,2,0,1,0,2,1,0,2,1
"373", 373, 373,24, 834,18,"English","clouds",0.50,"circles",0.50,"squares",0.50,"blue things",0.50,"red things",0.50,"green things",0.50,223,231,312,"striped",112111,FALSE,2,1,3,23, 8,12,NA,NA,NA,0.5000000,0.50000000,NA,0.3333333,0.33333333,0.33333333,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.3333333,0.3333333,0.3333333,0.3352866,0.332356676,0.332356676,0.5015525,0.498447508,NA,0.3352866,0.332356676,0.332356676,112111,0,2,1,3,1,2,0,1,2,0,2,0,1
"374", 374, 374,24,1626,19,"English","clouds",0.70,"circles",0.50,"squares",0.35,"solid things",0.65,"striped things",0.50,"polka-dotted things",0.35,113,333,322,"green",211112, TRUE,3,1,2,19,27,15,NA,NA,NA,0.6666617,0.33333825,NA,0.4333343,0.23333233,0.33333333,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.6666700,0.0000000,0.3333300,0.5007800,0.499219992,NA,0.6560466,0.343953440,NA,0.4710047,0.196351964,0.332643326,211211,0,3,1,2,2,1,0,0,2,1,0,2,1
"375", 375, 375,24,1432,20,"English","blue things",0.70,"red things",0.35,"green things",0.50,"solid things",0.40,"striped things",0.75,"polka-dotted things",0.25,321,331,312,"square",322111, TRUE,1,3,2, 6, 9,12,NA,NA,NA,0.6666617,0.33333825,NA,0.5357154,0.17857179,0.28571286,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.6295469,0.370453148,NA,0.5453245,0.227337727,0.227337727,322111,0,1,3,2,2,0,1,0,1,2,1,2,0
"376", 376, 391,26, 499, 6,"English","solid things",0.60,"striped things",0.20,"polka-dotted things",0.20,"blue things",0.35,"red things",0.35,"green things",0.75,313,322,231,"square",211111, TRUE,1,2,3,21,15, 8,NA,NA,NA,0.6000000,0.20000000,0.20000000,0.5172400,0.24138000,0.24138000,0.5000000,0.5000000,NA,0.6666700,0.0000000,0.3333300,0.6666700,0.0000000,0.3333300,0.5499123,0.450087750,NA,0.4427700,0.266830000,0.290400000,0.4427700,0.266830000,0.290400000,211111,0,1,2,3,2,1,0,0,1,2,2,1,0
"377", 377, 392,26,1587, 7,"English","blue things",0.30,"red things",0.60,"green things",0.50,"clouds",0.75,"circles",0.60,"squares",0.30,112,112,313,"solid",322121, TRUE,2,3,1,10,10,21,NA,NA,NA,0.7142857,0.28571429,NA,0.5454557,0.45454430,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.5707621,0.429237854,NA,0.5707621,0.429237854,NA,322121,0,2,1,3,0,1,2,0,2,1,1,2,0
"378", 378, 393,26,2047, 8,"English","solid things",0.50,"striped things",0.35,"polka-dotted things",0.60,"blue things",0.60,"red things",0.50,"green things",0.45,131,133,121,"cloud",322122, TRUE,1,2,3, 7,25, 4,NA,NA,NA,0.6315765,0.36842346,NA,0.5714328,0.42856721,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.5707621,0.429237854,NA,0.5707621,0.429237854,NA,322122,0,1,2,3,0,1,2,2,1,0,0,2,1
"379", 379, 394,26,1693, 9,"English","clouds",0.50,"circles",0.30,"squares",0.55,"blue things",0.60,"red things",0.50,"green things",0.35,311,233,233,"solid",121212,FALSE,2,1,3, 3,26,26,NA,NA,NA,0.6470626,0.35293744,NA,0.6315765,0.36842346,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.6009270,0.399073005,NA,0.6009270,0.399073005,NA,0.6009270,0.399073005,NA,121212,0,2,1,3,0,2,1,2,1,0,0,2,1
"380", 380, 395,26, 424,10,"English","solid things",0.45,"striped things",0.60,"polka-dotted things",0.45,"clouds",0.40,"circles",0.60,"squares",0.50,222,132,112,"red",321112, TRUE,3,2,1,14,16,10,NA,NA,NA,0.5999970,0.40000300,NA,0.4000000,0.30000000,0.30000000,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.6239669,0.376033120,NA,0.4534600,0.273270000,0.273270000,321211,0,3,1,2,1,0,2,1,0,2,1,2,0
"381", 381, 396,26, 436,11,"English","solid things",0.50,"striped things",0.35,"polka-dotted things",0.60,"blue things",0.45,"red things",0.45,"green things",0.60,233,222,221,"circle",321112, TRUE,1,2,3,26,14, 5,NA,NA,NA,0.6315765,0.36842346,NA,0.4000000,0.30000000,0.30000000,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.6239669,0.376033120,NA,0.4534600,0.273270000,0.273270000,321211,0,1,2,3,1,0,2,2,1,0,2,1,0
"382", 382, 397,26,2094,12,"English","clouds",0.60,"circles",0.40,"squares",0.40,"solid things",0.40,"striped things",0.60,"polka-dotted things",0.40,121,231,311,"blue",321111, TRUE,3,1,2, 4, 8, 3,NA,NA,NA,0.4285743,0.28571286,0.28571286,0.4285743,0.28571286,0.28571286,1.0000000,NA,NA,1.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.4534600,0.273270000,0.273270000,0.4534600,0.273270000,0.273270000,321111,0,3,2,1,0,1,2,1,2,0,0,1,2
"383", 383, 398,26,1491,13,"English","solid things",0.50,"striped things",0.45,"polka-dotted things",0.60,"clouds",0.50,"circles",0.50,"squares",0.50,133,111,121,"green",123211,FALSE,3,2,1,25, 1, 4,NA,NA,NA,1.0000000,NA,NA,0.3871000,0.32258000,0.29032000,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.3333333,0.3333333,0.3333333,0.6009270,0.399073005,NA,1.0000000,NA,NA,0.4295200,0.285240000,0.285240000,123211,0,3,1,2,2,0,1,0,1,2,2,0,1
"384", 384, 399,26, 330,14,"English","blue things",0.35,"red things",0.60,"green things",0.60,"clouds",0.50,"circles",0.50,"squares",0.50,312,311,333,"solid",213211, TRUE,2,3,1,12, 3,27,NA,NA,NA,1.0000000,NA,NA,0.3870961,0.22580774,0.38709613,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.6666700,0.0000000,0.3333300,0.5499123,0.450087750,NA,1.0000000,NA,NA,0.4427700,0.266830000,0.290400000,213211,0,2,1,3,0,2,1,2,0,1,1,0,2
"385", 385, 400,26, 736,15,"English","blue things",0.65,"red things",0.50,"green things",0.40,"solid things",0.35,"striped things",0.45,"polka-dotted things",0.50,211,213,321,"circle",212122, TRUE,1,3,2, 2,20, 6,NA,NA,NA,0.4375020,0.56249797,NA,0.6190490,0.38095098,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.5499123,0.450087750,NA,0.5499123,0.450087750,NA,0.5808721,0.419127904,NA,212122,0,1,2,3,1,2,0,0,1,2,0,2,1
"386", 386, 401,26, 114,16,"English","blue things",0.60,"red things",0.45,"green things",0.45,"clouds",0.45,"circles",0.40,"squares",0.50,311,211,123,"solid",212111, TRUE,2,3,1, 3, 2,22,NA,NA,NA,0.5714286,0.42857143,NA,0.3703700,0.29630000,0.33333000,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.6666700,0.0000000,0.3333300,0.5499123,0.450087750,NA,0.5499123,0.450087750,NA,0.4427700,0.266830000,0.290400000,212111,0,2,3,1,0,1,2,0,2,1,2,1,0
"387", 387, 402,26, 866,17,"English","blue things",0.45,"red things",0.60,"green things",0.50,"clouds",0.35,"circles",0.50,"squares",0.60,312,331,122,"solid",112122,FALSE,2,3,1,12, 9,13,NA,NA,NA,0.6315765,0.36842346,NA,0.5714328,0.42856721,NA,0.3333333,0.3333333,0.3333333,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.4295200,0.285240000,0.285240000,0.5585372,0.441462793,NA,0.5585372,0.441462793,NA,112122,0,2,1,3,0,2,1,2,0,1,1,0,2
"388", 388, 403,26,1816,18,"English","clouds",0.60,"circles",0.40,"squares",0.50,"solid things",0.50,"striped things",0.60,"polka-dotted things",0.50,121,123,213,"blue",122121,FALSE,3,1,2, 4,22,20,NA,NA,NA,0.5454545,0.45454545,NA,0.5999970,0.40000300,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.6009270,0.399073005,NA,0.5585372,0.441462793,NA,0.5585372,0.441462793,NA,122121,0,3,2,1,0,2,1,1,0,2,0,1,2
"389", 389, 404,26, 253,19,"English","blue things",0.50,"red things",0.60,"green things",0.40,"solid things",0.60,"striped things",0.50,"polka-dotted things",0.50,332,313,132,"square",212222, TRUE,1,3,2,18,21,16,NA,NA,NA,0.4545455,0.54545455,NA,0.5999970,0.40000300,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,0.5499123,0.450087750,NA,0.5808721,0.419127904,NA,0.5808721,0.419127904,NA,212222,0,1,2,3,2,0,1,2,0,1,1,2,0
"390", 390, 405,26,1496,20,"English","blue things",0.45,"red things",0.45,"green things",0.55,"solid things",0.50,"striped things",0.60,"polka-dotted things",0.45,123,222,221,"cloud",123211,FALSE,1,3,2,22,14, 5,NA,NA,NA,1.0000000,NA,NA,0.3793138,0.31034310,0.31034310,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.3333333,0.3333333,0.3333333,0.6009270,0.399073005,NA,1.0000000,NA,NA,0.4295200,0.285240000,0.285240000,123211,0,1,2,3,0,1,2,1,0,2,2,1,0
"391", 391, 406,27,2358, 6,"English","blue things",0.00,"red things",0.00,"green things",0.50,"clouds",0.00,"circles",0.50,"squares",0.00,213,233,223,"solid",113232,FALSE,2,3,1,20,26,23,NA,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,0.3333333,0.3333333,0.3333333,1.0000000,NA,NA,1.0000000,NA,NA,0.9839600,0.008020000,0.008020000,1.0000000,NA,NA,1.0000000,NA,NA,113232,0,2,1,3,0,2,1,1,0,2,2,0,1
"392", 392, 407,27,1512, 7,"English","solid things",0.00,"striped things",0.50,"polka-dotted things",0.00,"blue things",0.00,"red things",1.00,"green things",0.00,122,123,133,"cloud",322112, TRUE,1,2,3,13,22,25,NA,NA,NA,1.0000000,0.00000000,NA,1.0000000,0.00000000,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.9854801,0.014519927,NA,0.9926350,0.007364963,NA,322112,0,1,2,3,0,1,2,1,2,0,1,2,0
"393", 393, 408,27,2088, 8,"English","solid things",0.05,"striped things",1.00,"polka-dotted things",0.00,"blue things",0.00,"red things",0.95,"green things",0.00,122,111,133,"cloud",321111, TRUE,1,2,3,13, 1,25,NA,NA,NA,0.9523800,0.04762000,0.00000000,1.0000000,0.00000000,0.00000000,1.0000000,NA,NA,1.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,1.0000000,NA,NA,0.9853800,0.007310000,0.007310000,0.9853800,0.007310000,0.007310000,321111,0,1,2,3,0,1,2,1,0,2,1,0,2
"394", 394, 409,27,1725, 9,"English","clouds",0.00,"circles",1.00,"squares",0.00,"solid things",1.00,"striped things",0.05,"polka-dotted things",0.00,211,231,333,"blue",212112, TRUE,3,1,2, 2, 8,27,NA,NA,NA,1.0000000,0.00000000,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,0.9840701,0.015929920,NA,0.9840701,0.015929920,NA,0.9922900,0.007709961,NA,212112,0,3,1,2,0,2,1,1,2,0,0,2,1
"395", 395, 410,27,2028,10,"English","clouds",0.50,"circles",0.05,"squares",0.05,"solid things",0.95,"striped things",0.00,"polka-dotted things",0.05,113,133,213,"green",322122, TRUE,3,1,2,19,25,20,NA,NA,NA,0.9500000,0.05000000,NA,0.9090939,0.09090612,NA,1.0000000,NA,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,1.0000000,NA,NA,0.9854801,0.014519927,NA,0.9854801,0.014519927,NA,322122,0,3,2,1,2,0,1,0,2,1,0,1,2
"396", 396, 411,27, 935,11,"English","blue things",0.00,"red things",0.00,"green things",1.00,"clouds",0.50,"circles",0.05,"squares",0.00,133,133,212,"polka-dotted",212121,FALSE,2,3,1,25,25,11,NA,NA,NA,0.9090900,0.09091000,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.9840701,0.015929920,NA,0.9840701,0.015929920,NA,0.9840701,0.015929920,NA,212121,0,2,1,3,2,0,1,0,1,2,2,1,0
"397", 397, 412,27,1963,12,"English","clouds",0.50,"circles",0.50,"squares",0.50,"solid things",0.50,"striped things",0.50,"polka-dotted things",0.50,312,312,312,"red",323232,FALSE,3,1,2,12,12,12,NA,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,1.0000000,NA,NA,323232,0,3,2,1,1,0,2,0,1,2,2,0,1
"398", 398, 413,27, 453,13,"English","clouds",0.95,"circles",0.00,"squares",0.00,"solid things",1.00,"striped things",0.00,"polka-dotted things",0.05,112,332,221,"red",211111, TRUE,3,1,2,10,18, 5,NA,NA,NA,0.9523800,0.04762000,0.00000000,1.0000000,0.00000000,0.00000000,0.5000000,0.5000000,NA,0.6666700,0.0000000,0.3333300,0.6666700,0.0000000,0.3333300,0.9840701,0.015929920,NA,0.9846700,0.007300000,0.008030000,0.9846700,0.007300000,0.008030000,211111,0,3,2,1,1,0,2,0,2,1,0,2,1
"399", 399, 414,27,1304,14,"English","solid things",0.00,"striped things",0.00,"polka-dotted things",0.50,"blue things",0.00,"red things",0.50,"green things",0.00,232,331,312,"circle",122122,FALSE,1,2,3,17, 9,12,NA,NA,NA,1.0000000,0.00000000,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.5000000,0.5000000,NA,0.9919150,0.008084960,NA,0.9847751,0.015224924,NA,0.9847751,0.015224924,NA,122122,0,1,2,3,1,2,0,2,0,1,1,0,2
"400", 400, 415,27,1477,15,"English","blue things",0.00,"red things",0.00,"green things",0.50,"solid things",1.00,"striped things",0.00,"polka-dotted things",0.00,313,123,133,"square",123211,FALSE,1,3,2,21,22,25,NA,NA,NA,1.0000000,NA,NA,1.0000000,0.00000000,0.00000000,0.5000000,0.5000000,NA,1.0000000,NA,NA,0.3333333,0.3333333,0.3333333,0.9919150,0.008084960,NA,1.0000000,NA,NA,0.9839600,0.008020000,0.008020000,123211,0,1,3,2,2,0,1,2,0,1,0,1,2
"401", 401, 416,27, 267,16,"English","clouds",0.00,"circles",0.50,"squares",0.00,"solid things",0.00,"striped things",0.00,"polka-dotted things",0.50,233,123,232,"green",212222, TRUE,3,1,2,26,22,17,NA,NA,NA,1.0000000,0.00000000,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,0.9840701,0.015929920,NA,0.9861251,0.013874931,NA,0.9861251,0.013874931,NA,212222,0,3,2,1,2,1,0,2,1,0,1,0,2
"402", 402, 417,27,1032,17,"English","clouds",0.00,"circles",1.00,"squares",0.00,"solid things",0.00,"striped things",0.55,"polka-dotted things",0.00,221,311,323,"blue",212212, TRUE,3,1,2, 5, 3,24,NA,NA,NA,1.0000000,0.00000000,NA,1.0000000,0.00000000,NA,0.5000000,0.5000000,NA,1.0000000,0.0000000,NA,1.0000000,0.0000000,NA,0.9840701,0.015929920,NA,0.9861251,0.013874931,NA,0.9922900,0.007709961,NA,212212,0,3,2,1,0,2,1,1,0,2,1,2,0
